NAMA_KAPAL,VOYAGE,PELABUHAN,ETA_HARI,ETA_TANGGAL,ETA_JAM,ETD_HARI,ETD_TANGGAL,ETD_JAM
KM. DOROLONDA,01.2025,Balikpapan,Kamis,9-Jan-25,17:00,Kamis,9-Jan-25,19:00
KM. DOROLONDA,01.2025,Pantoloan,Jum'at,10-Jan-25,07:00,Jum'at,10-Jan-25,09:00
KM. DOROLONDA,01.2025,Bitung,Sabtu,11-Jan-25,14:00,Sabtu,11-Jan-25,17:00
KM. DOROLONDA,01.2025,Ternate,Minggu,12-Jan-25,02:00,Minggu,12-Jan-25,04:00
KM. DOROLONDA,01.2025,Sorong,Minggu,12-Jan-25,23:00,Senin,13-Jan-25,02:00
KM. DOROLONDA,01.2025,Manokwari,Senin,13-Jan-25,14:00,Senin,13-Jan-25,16:00
KM. DOROLONDA,01.2025,Nabire,Selasa,14-Jan-25,02:00,Selasa,14-Jan-25,04:00
KM. DOROLONDA,01.2025,Serui,Selasa,14-Jan-25,10:00,Selasa,14-Jan-25,12:00
KM. DOROLONDA,01.2025,Jayapura,Rabu,15-Jan-25,08:00,Rabu,15-Jan-25,13:00
KM. DOROLONDA,01.2025,Serui,Kamis,16-Jan-25,08:00,Kamis,16-Jan-25,10:00
KM. DOROLONDA,01.2025,Nabire,Kamis,16-Jan-25,16:00,Kamis,16-Jan-25,18:00
KM. DOROLONDA,01.2025,Manokwari,Jum'at,17-Jan-25,04:00,Jum'at,17-Jan-25,06:00
KM. DOROLONDA,01.2025,Sorong,Jum'at,17-Jan-25,18:00,Jum'at,17-Jan-25,21:00
KM. DOROLONDA,01.2025,Ternate,Sabtu,18-Jan-25,16:00,Sabtu,18-Jan-25,18:00
KM. DOROLONDA,01.2025,Bitung,Minggu,19-Jan-25,02:00,Minggu,19-Jan-25,04:00
KM. DOROLONDA,01.2025,Pantoloan,Senin,20-Jan-25,07:00,Senin,20-Jan-25,09:00
KM. DOROLONDA,01.2025,Balikpapan,Senin,20-Jan-25,21:00,Senin,20-Jan-25,23:00
KM. DOROLONDA,01.2025,Surabaya,Rabu,22-Jan-25,04:00,,,
KM. DOROLONDA,02.2025,Surabaya,Rabu,22-Jan-25,04:00,Rabu,22-Jan-25,13:00
KM. DOROLONDA,02.2025,Makassar,Kamis,23-Jan-25,18:00,Kamis,23-Jan-25,21:00
KM. DOROLONDA,02.2025,Bau-Bau,Jum'at,24-Jan-25,12:00,Jum'at,24-Jan-25,14:00
KM. DOROLONDA,02.2025,Namlea,Sabtu,25-Jan-25,14:00,Sabtu,25-Jan-25,16:00
KM. DOROLONDA,02.2025,Ambon,Sabtu,25-Jan-25,21:00,Sabtu,25-Jan-25,23:59
KM. DOROLONDA,02.2025,Sorong,Minggu,26-Jan-25,20:00,Minggu,26-Jan-25,23:00
KM. DOROLONDA,02.2025,Manokwari,Senin,27-Jan-25,12:00,Senin,27-Jan-25,14:00
KM. DOROLONDA,02.2025,Nabire,Selasa,28-Jan-25,01:00,Selasa,28-Jan-25,03:00
KM. DOROLONDA,02.2025,Serui,Selasa,28-Jan-25,09:00,Selasa,28-Jan-25,11:00
KM. DOROLONDA,02.2025,Jayapura,Rabu,29-Jan-25,05:00,Rabu,29-Jan-25,11:00
KM. DOROLONDA,02.2025,Serui,Kamis,30-Jan-25,06:00,Kamis,30-Jan-25,08:00
KM. DOROLONDA,02.2025,Nabire,Kamis,30-Jan-25,14:00,Kamis,30-Jan-25,16:00
KM. DOROLONDA,02.2025,Manokwari,Jum'at,31-Jan-25,02:00,Jum'at,31-Jan-25,04:00
KM. DOROLONDA,02.2025,Sorong,Jum'at,31-Jan-25,16:00,Jum'at,31-Jan-25,19:00
