NAMA_KAPAL,VOYAGE,PELABUHAN,ETA_HARI,ETA_TANGGAL,ETA_JAM,ETD_HARI,ETD_TANGGAL,ETD_JAM
KM. DOROLONDA,1.2025,SERUI,Selasa,14-Jan-25,10:00,Selasa,14-Jan-25,12:00
KM. DOROLONDA,1.2025,JAYAPURA,Rabu,15-Jan-25,08:00,Rabu,15-Jan-25,13:00
KM. DOROLONDA,1.2025,SERUI,Kamis,16-Jan-25,08:00,Kamis,16-Jan-25,10:00
KM. DOROLONDA,1.2025,NABIRE,Kamis,16-Jan-25,16:00,Kamis,16-Jan-25,18:00
KM. DOROLONDA,1.2025,MANOKWARI,Jum'at,17-Jan-25,04:00,Jum'at,17-Jan-25,06:00
KM. DOROLONDA,1.2025,SORONG,Jum'at,17-Jan-25,18:00,Jum'at,17-Jan-25,21:00
KM. DOROLONDA,1.2025,TERNATE,Sabtu,18-Jan-25,16:00,Sabtu,18-Jan-25,18:00
KM. DOROLONDA,1.2025,BITUNG,Minggu,19-Jan-25,02:00,Minggu,19-Jan-25,04:00
KM. DOROLONDA,1.2025,PANTOLOAN,Senin,20-Jan-25,07:00,Senin,20-Jan-25,09:00
KM. DOROLONDA,1.2025,BALIKPAPAN,Senin,20-Jan-25,21:00,Senin,20-Jan-25,23:00
KM. DOROLONDA,1.2025,SURABAYA,Rabu,22-Jan-25,04:00,,,
KM. DOROLONDA,2.2025,SURABAYA,Rabu,22-Jan-25,04:00,Rabu,22-Jan-25,13:00
KM. DOROLONDA,2.2025,MAKASSAR,Kamis,23-Jan-25,18:00,Kamis,23-Jan-25,21:00
KM. DOROLONDA,2.2025,BAU-BAU,Jum'at,24-Jan-25,12:00,Jum'at,24-Jan-25,14:00
KM. DOROLONDA,2.2025,NAMLEA,Sabtu,25-Jan-25,14:00,Sabtu,25-Jan-25,16:00
KM. DOROLONDA,2.2025,AMBON,Sabtu,25-Jan-25,21:00,Sabtu,25-Jan-25,23:59
KM. DOROLONDA,2.2025,SORONG,Minggu,26-Jan-25,20:00,Minggu,26-Jan-25,23:00
KM. DOROLONDA,2.2025,MANOKWARI,Senin,27-Jan-25,12:00,Senin,27-Jan-25,14:00
KM. DOROLONDA,2.2025,NABIRE,Selasa,28-Jan-25,01:00,Selasa,28-Jan-25,03:00
KM. DOROLONDA,2.2025,SERUI,Selasa,28-Jan-25,09:00,Selasa,28-Jan-25,11:00
KM. DOROLONDA,2.2025,JAYAPURA,Rabu,29-Jan-25,05:00,Rabu,29-Jan-25,11:00
KM. DOROLONDA,2.2025,SERUI,Kamis,30-Jan-25,06:00,Kamis,30-Jan-25,08:00
KM. DOROLONDA,2.2025,NABIRE,Kamis,30-Jan-25,14:00,Kamis,30-Jan-25,16:00
KM. DOROLONDA,2.2025,MANOKWARI,Jum'at,31-Jan-25,02:00,Jum'at,31-Jan-25,04:00
KM. DOROLONDA,2.2025,SORONG,Jum'at,31-Jan-25,16:00,Jum'at,31-Jan-25,19:00
KM. DOROLONDA,2.2025,AMBON,Sabtu,1-Feb-25,15:00,Sabtu,1-Feb-25,18:00
KM. DOROLONDA,2.2025,NAMLEA,Sabtu,1-Feb-25,23:00,Minggu,2-Feb-25,01:00
KM. DOROLONDA,2.2025,BAU-BAU,Senin,3-Feb-25,00:01,Senin,3-Feb-25,02:00
KM. DOROLONDA,2.2025,MAKASSAR,Senin,3-Feb-25,16:00,Senin,3-Feb-25,19:00
KM. DOROLONDA,2.2025,SURABAYA,Selasa,4-Feb-25,22:00,,,
KM. DOBONSOLO,1.2025,TANJUNG PRIOK,Selasa,7-Jan-25,14:00,Rabu,8-Jan-25,10:00
KM. DOBONSOLO,1.2025,SURABAYA,Kamis,9-Jan-25,13:00,Kamis,9-Jan-25,17:00
KM. DOBONSOLO,1.2025,MAKASSAR,Jum'at,10-Jan-25,21:00,Jum'at,10-Jan-25,23:59
KM. DOBONSOLO,1.2025,BAU-BAU,Sabtu,11-Jan-25,16:00,Sabtu,11-Jan-25,18:00
KM. DOBONSOLO,1.2025,SORONG,Senin,13-Jan-25,12:00,Senin,13-Jan-25,15:00
KM. DOBONSOLO,1.2025,MANOKWARI,Selasa,14-Jan-25,07:00,Selasa,14-Jan-25,10:00
KM. DOBONSOLO,1.2025,SORONG,Rabu,15-Jan-25,02:00,Rabu,15-Jan-25,05:00
KM. DOBONSOLO,1.2025,BAU-BAU,Kamis,16-Jan-25,22:00,Kamis,16-Jan-25,23:59
KM. DOBONSOLO,1.2025,MAKASSAR,Jum'at,17-Jan-25,16:00,Jum'at,17-Jan-25,19:00
KM. DOBONSOLO,1.2025,SURABAYA,Minggu,19-Jan-25,02:00,Minggu,19-Jan-25,04:00
KM. DOBONSOLO,1.2025,TANJUNG PRIOK,Senin,20-Jan-25,08:00,,,
KM. DOBONSOLO,1.2025,TANJUNG PRIOK,Selasa,7-Jan-25,14:00,Rabu,8-Jan-25,10:00
KM. DOBONSOLO,1.2025,SURABAYA,Kamis,9-Jan-25,13:00,Kamis,9-Jan-25,17:00
KM. DOBONSOLO,1.2025,MAKASSAR,Jum'at,10-Jan-25,21:00,Jum'at,10-Jan-25,23:59
KM. DOBONSOLO,1.2025,BAU-BAU,Sabtu,11-Jan-25,16:00,Sabtu,11-Jan-25,18:00
KM. DOBONSOLO,1.2025,SORONG,Senin,13-Jan-25,12:00,Senin,13-Jan-25,15:00
KM. DOBONSOLO,1.2025,MANOKWARI,Selasa,14-Jan-25,07:00,Selasa,14-Jan-25,10:00
KM. DOBONSOLO,1.2025,SORONG,Rabu,15-Jan-25,02:00,Rabu,15-Jan-25,05:00
KM. DOBONSOLO,1.2025,BAU-BAU,Kamis,16-Jan-25,22:00,Kamis,16-Jan-25,23:59
KM. DOBONSOLO,1.2025,MAKASSAR,Jum'at,17-Jan-25,16:00,Jum'at,17-Jan-25,19:00
KM. DOBONSOLO,1.2025,SURABAYA,Minggu,19-Jan-25,02:00,Minggu,19-Jan-25,04:00
KM. DOBONSOLO,1.2025,TANJUNG PRIOK,Senin,20-Jan-25,08:00,,,
KM. DOBONSOLO,2.2025,TANJUNG PRIOK,Senin,20-Jan-25,12:00,Kamis,20-Feb-25,23:59
KM. DOBONSOLO,2.2025,SURABAYA,Sabtu,22-Feb-25,03:00,Sabtu,22-Feb-25,07:00
KM. DOBONSOLO,2.2025,MAKASSAR,Minggu,23-Feb-25,13:00,Minggu,23-Feb-25,17:00
KM. DOBONSOLO,2.2025,BAU-BAU,Senin,24-Feb-25,09:00,Senin,24-Feb-25,12:00
KM. DOBONSOLO,2.2025,SORONG,Rabu,26-Feb-25,06:00,Rabu,26-Feb-25,10:00
KM. DOBONSOLO,2.2025,MANOKWARI,Kamis,27-Feb-25,02:00,Kamis,27-Feb-25,05:00
KM. DOBONSOLO,2.2025,BIAK,Kamis,27-Feb-25,15:00,Kamis,27-Feb-25,18:00
KM. DOBONSOLO,2.2025,JAYAPURA,Jum'at,28-Feb-25,16:00,Jum'at,28-Feb-25,22:00
KM. DOBONSOLO,2.2025,BIAK,Sabtu,1-Mar-25,20:00,Sabtu,1-Mar-25,23:00
KM. DOBONSOLO,2.2025,MANOKWARI,Minggu,2-Mar-25,10:00,Minggu,2-Mar-25,13:00
KM. DOBONSOLO,2.2025,SORONG,Senin,3-Mar-25,05:00,Senin,3-Mar-25,09:00
KM. DOBONSOLO,2.2025,BAU-BAU,Rabu,5-Mar-25,05:00,Rabu,5-Mar-25,08:00
KM. DOBONSOLO,2.2025,MAKASSAR,Kamis,6-Mar-25,01:00,Kamis,6-Mar-25,04:00
KM. DOBONSOLO,2.2025,SURABAYA,Jum'at,7-Mar-25,12:00,Jum'at,7-Mar-25,14:00
KM. DOBONSOLO,2.2025,TANJUNG PRIOK,Sabtu,8-Mar-25,18:00,,,
